App,Category,Rating,Reviews,Installs,Type,Content Rating,Genres,Last Updated
roblox,game,4.5,4447388,100000000,Free,everyone    ,adventure,2018-07-31
subway surfers,game,4.5,27722264,1000000000,Free,everyone    ,arcade,2018-07-12
candy crush saga,game,4.4,22426677,500000000,Free,everyone,casual,2018-07-05
solitaire,game,4.7,254258,10000000,Free,everyone,card,2018-08-01
bubble shooter,game,4.5,148897,10000000,Free,everyone,casual,2018-07-17
hello kitty nail salon,game,4.2,369203,50000000,Free,everyone,role playing,2018-04-17
slither io,game,4.4,5234162,100000000,Free,everyone,action,2017-11-14
clash royale,game,4.6,23133508,100000000,Free,everyone    ,strategy,2018-06-27
temple run  ,game,4.3,8118609,500000000,Free,everyone,action,2018-07-05
pou,game,4.3,10485308,500000000,Free,everyone,casual,2018-05-25
helix jump,game,4.2,1497361,100000000,Free,everyone,action,2018-04-09
block puzzle,game,4.6,59800,5000000,Free,everyone,puzzle,2018-03-06
angry birds rio,game,4.4,2610526,100000000,Free,everyone,arcade,2018-07-03
plants vs  zombies free,game,4.4,4066989,100000000,Free,everyone    ,strategy,2018-07-06
sonic dash,game,4.5,3778921,100000000,Free,everyone,arcade,2018-07-26
candy crush soda saga,game,4.4,6198563,100000000,Free,everyone,casual,2018-07-10
zombie hunter king,game,4.3,10306,1000000,Free,mature    ,action,2018-08-01
clash of clans,game,4.6,44891723,100000000,Free,everyone    ,strategy,2018-07-15
kick the buddy,game,4.3,1000417,50000000,Free,teen,action,2018-07-05
block puzzle classic legend  ,game,4.2,17039,5000000,Free,everyone,puzzle,2018-04-13
pac man,game,4.2,685981,100000000,Free,everyone,arcade,2018-05-15
super jim jump   pixel  d,game,4.5,10393,1000000,Free,everyone,arcade,2018-07-11
  ball pool,game,4.5,14198297,100000000,Free,everyone,sports,2018-07-31
magic tiles  ,game,4.5,592068,50000000,Free,everyone,music,2018-08-03
bubble witch   saga,game,4.7,1732263,50000000,Free,everyone,puzzle,2018-07-17
word search,game,4.7,295241,10000000,Free,everyone,education,2018-06-06
granny,game,4.5,1135631,50000000,Free,teen,arcade,2018-05-29
angry birds classic,game,4.4,5566669,100000000,Free,everyone,arcade,2018-05-24
flow free,game,4.3,1295557,100000000,Free,everyone,puzzle,2018-04-11
race the traffic moto,game,3.8,270687,10000000,Free,teen,racing,2018-07-20
fishdom,game,4.6,2157930,10000000,Free,everyone,puzzle,2018-07-19
galaxy attack  alien shooter,game,4.6,506275,10000000,Free,everyone,arcade,2018-08-01
zombie tsunami,game,4.4,4920817,100000000,Free,everyone    ,arcade,2018-06-15
bubble shooter  ,game,4.3,23005,5000000,Free,everyone,arcade,2018-07-25
barbie  fashion closet,game,4.1,68057,10000000,Free,everyone,role playing,2018-07-30
candy crush jelly saga,game,4.3,1300490,50000000,Free,everyone,puzzle,2018-07-20
hill climb racing,game,4.4,8923587,100000000,Free,everyone,racing,2018-07-02
gardenscapes,game,4.6,4128732,50000000,Free,everyone,casual,2018-07-13
marble   temple quest,game,4.3,42053,10000000,Free,everyone,puzzle,2018-06-21
shooting king,game,4.4,257724,10000000,Free,everyone    ,sports,2018-05-25
zombie catchers,game,4.7,990491,10000000,Free,everyone,action,2018-05-24
minion rush  despicable me official game,game,4.5,10216538,100000000,Free,everyone    ,adventure,2018-07-12
farm heroes saga,game,4.4,7614130,100000000,Free,everyone,casual,2018-07-26
geometry dash world,game,4.6,760628,10000000,Free,everyone,arcade,2017-12-22
my talking angela,game,4.5,9881829,100000000,Free,everyone,casual,2018-07-03
cut the rope full free,game,4.4,2123381,100000000,Free,everyone,puzzle,2018-07-05
sniper  d gun shooter  free shooting games   fps,game,4.6,7671249,100000000,Free,mature    ,action,2018-08-02
subway surfers,game,4.5,27723193,1000000000,Free,everyone    ,arcade,2018-07-12
roblox,game,4.5,4447346,100000000,Free,everyone    ,adventure,2018-07-31
pou,game,4.3,10485334,500000000,Free,everyone,casual,2018-05-25
  ball pool,game,4.5,14198602,100000000,Free,everyone,sports,2018-07-31
candy crush saga,game,4.4,22428456,500000000,Free,everyone,casual,2018-07-05
plants vs  zombies free,game,4.4,4066980,100000000,Free,everyone    ,strategy,2018-07-06
cooking fever,game,4.5,3197865,100000000,Free,everyone,arcade,2018-07-12
toon blast,game,4.7,1351068,10000000,Free,everyone,puzzle,2018-07-30
score  hero,game,4.6,5418675,100000000,Free,everyone,sports,2018-06-13
my talking angela,game,4.5,9881908,100000000,Free,everyone,casual,2018-07-03
bubble shooter,game,4.5,148895,10000000,Free,everyone,casual,2018-07-17
toy blast,game,4.7,1889250,50000000,Free,everyone,puzzle,2018-07-23
miraculous ladybug   cat noir   the official game,game,4.5,183846,10000000,Free,everyone,action,2018-07-30
wordscapes,game,4.8,230710,10000000,Free,everyone,education,2018-08-02
word search,game,4.7,295305,10000000,Free,everyone,education,2018-06-06
candy crush soda saga,game,4.4,6198880,100000000,Free,everyone,casual,2018-07-10
garena free fire,game,4.5,5465624,100000000,Free,teen,action,2018-08-03
block puzzle,game,4.6,59854,5000000,Free,everyone,puzzle,2018-03-06
bowmasters,game,4.7,1534466,50000000,Free,teen,action,2018-07-23
clash royale,game,4.6,23134775,100000000,Free,everyone    ,strategy,2018-06-27
my talking tom,game,4.5,14891223,500000000,Free,everyone,casual,2018-07-19
sniper  d gun shooter  free shooting games   fps,game,4.6,7672495,100000000,Free,mature    ,action,2018-08-02
granny,game,4.5,1137271,50000000,Free,teen,arcade,2018-05-29
angry birds rio,game,4.4,2610622,100000000,Free,everyone,arcade,2018-07-03
zombie catchers,game,4.7,990586,10000000,Free,everyone,action,2018-05-24
zombie hunter king,game,4.3,10354,1000000,Free,mature    ,action,2018-08-01
temple run  ,game,4.3,8118937,500000000,Free,everyone,action,2018-07-05
zombie tsunami,game,4.4,4921122,100000000,Free,everyone    ,arcade,2018-06-15
jungle marble blast,game,4.3,18985,5000000,Free,everyone,casual,2018-07-23
rider,game,4.5,655067,10000000,Free,teen,arcade,2017-07-17
farm heroes saga,game,4.4,7614271,100000000,Free,everyone,casual,2018-07-26
super jim jump   pixel  d,game,4.5,10434,1000000,Free,everyone,arcade,2018-07-11
slither io,game,4.4,5234825,100000000,Free,everyone,action,2017-11-14
roll the ball    slide puzzle,game,4.5,1385093,100000000,Free,everyone,puzzle,2018-08-02
talking tom gold run,game,4.6,2698348,100000000,Free,everyone,action,2018-07-31
pixel art  color by number game,game,4.7,1125017,10000000,Free,everyone,puzzle,2018-07-17
dream league soccer     ,game,4.6,9882639,100000000,Free,everyone,sports,2018-07-16
angry birds classic,game,4.4,5566805,100000000,Free,everyone,arcade,2018-05-24
fruits bomb,game,4.4,74673,10000000,Free,everyone,casual,2018-07-06
traffic racer,game,4.5,5387639,100000000,Free,everyone,racing,2018-02-27
hill climb racing  ,game,4.6,2750410,100000000,Free,everyone,racing,2018-08-02
flow free,game,4.3,1295606,100000000,Free,everyone,puzzle,2018-04-11
knife hit,game,4.5,461137,10000000,Free,everyone,arcade,2018-05-22
block craft  d  building simulator games for free,game,4.5,946926,50000000,Free,everyone,simulation,2018-03-05
farm fruit pop  party time,game,4.4,9305,1000000,Free,everyone,casual,2018-08-02
roblox,game,4.5,4448791,100000000,Free,everyone    ,adventure,2018-07-31
helix jump,game,4.2,1498648,100000000,Free,everyone,action,2018-04-09
subway surfers,game,4.5,27724094,1000000000,Free,everyone    ,arcade,2018-07-12
toon blast,game,4.7,1351089,10000000,Free,everyone,puzzle,2018-07-30
love balls,game,4.2,360630,50000000,Free,everyone,puzzle,2018-07-31
granny,game,4.5,1137267,50000000,Free,teen,arcade,2018-05-29
  ball pool,game,4.5,14200344,100000000,Free,everyone,sports,2018-07-31
slither io,game,4.4,5234810,100000000,Free,everyone,action,2017-11-14
hungry shark evolution,game,4.5,6074334,100000000,Free,teen,arcade,2018-07-25
magic tiles  ,game,4.5,592282,50000000,Free,everyone,music,2018-08-03
bowmasters,game,4.7,1535084,50000000,Free,teen,action,2018-07-23
piano tiles   ,game,4.7,8118880,100000000,Free,everyone,arcade,2018-08-03
pok mon go,game,4.1,10424925,100000000,Free,everyone,adventure,2018-07-23
wordscapes,game,4.8,230727,10000000,Free,everyone,education,2018-08-02
paint hit,game,4.4,37023,10000000,Free,everyone,casual,2018-07-06
snake vs block,game,4.2,422244,50000000,Free,teen,arcade,2018-04-23
rolly vortex,game,4.4,98123,10000000,Free,teen,arcade,2018-05-25
woody puzzle,game,4.7,21262,1000000,Free,everyone,puzzle,2018-08-03
stack jump,game,4.3,118253,10000000,Free,teen,arcade,2018-05-03
color by number   new coloring book,game,4.7,141529,5000000,Free,everyone    ,board,2018-08-01
the cube,game,4.2,70226,5000000,Free,everyone,arcade,2018-07-25
extreme car driving simulator,game,4.3,2251012,100000000,Free,everyone,racing,2018-05-03
bricks n balls,game,4.4,30253,1000000,Free,everyone,casual,2018-08-05
the fish master ,game,4.1,15763,1000000,Free,everyone,arcade,2018-07-17
color road,game,4.1,84911,10000000,Free,everyone,arcade,2018-07-19
draw in,game,4.2,46416,10000000,Free,everyone,arcade,2018-07-23
plank ,game,4.7,7196,500000,Free,everyone,arcade,2018-07-17
looper ,game,4.6,48256,1000000,Free,everyone,puzzle,2018-07-20
trivia crack,game,4.5,6427773,100000000,Free,everyone,education,2018-08-03
will it crush ,game,3.1,25825,5000000,Free,everyone,simulation,2018-05-22
tomb of the mask,game,4.1,55380,5000000,Free,everyone,action,2018-07-24
baseball boy ,game,3.4,148177,10000000,Free,everyone,arcade,2018-07-27
pubg mobile,game,4.4,3715656,50000000,Free,teen,action,2018-07-24
episode   choose your story,game,4.3,1841061,50000000,Free,teen,simulation,2018-07-31
hello stars,game,4.6,101686,10000000,Free,everyone,puzzle,2018-08-04
run sausage run ,game,4.4,275447,10000000,Free,everyone    ,arcade,2018-08-01
tank stars,game,4.3,174755,10000000,Free,everyone    ,arcade,2018-07-11
castle clash  heroes of the empire us,game,4.6,4578476,50000000,Free,everyone    ,strategy,2018-07-17
hole io,game,4.2,145353,10000000,Free,teen,arcade,2018-07-24
helix jump,game,4.2,1499373,100000000,Free,everyone,action,2018-04-09
mini golf king   multiplayer game,game,4.5,531458,5000000,Free,everyone,sports,2018-07-20
pubg mobile,game,4.4,3714270,50000000,Free,teen,action,2018-07-24
flip the gun   simulator game,game,4.2,195558,10000000,Free,everyone,arcade,2018-07-26
mad skills bmx  ,game,4.5,29940,1000000,Free,everyone,action,2018-07-26
mmx hill dash     offroad truck  car   bike racing,game,4.4,41975,1000000,Free,everyone,racing,2018-07-19
word link,game,4.6,216675,10000000,Free,everyone,education,2018-08-01
last day on earth  survival,game,4.5,2311785,10000000,Free,teen,action,2018-08-01
marvel strike force,game,4.3,165888,5000000,Free,teen,role playing,2018-07-31
partymasters   fun idle game,game,4.6,541144,10000000,Free,teen,arcade,2018-07-12
harry potter  hogwarts mystery,game,4.4,1107310,10000000,Free,teen,adventure,2018-08-01
offroad outlaws,game,4.4,29168,1000000,Free,everyone,racing,2018-05-29
grim soul  dark fantasy survival,game,4.5,189773,5000000,Free,teen,role playing,2018-07-18
dragon ball legends,game,4.6,337752,5000000,Free,teen,action,2018-08-03
disney heroes  battle mode,game,4.6,102107,5000000,Free,everyone    ,strategy,2018-07-31
homescapes,game,4.6,3093358,10000000,Free,everyone,casual,2018-07-13
new yahtzee  with buddies dice game,game,4.1,42079,5000000,Free,everyone,board,2018-07-05
word crossy   a crossword game,game,4.5,240416,5000000,Free,everyone,education,2018-08-01
mlb tap sports baseball     ,game,4.6,32506,1000000,Free,everyone,sports,2018-06-27
hero hunters,game,4.4,70747,5000000,Free,teen,action,2018-07-31
cooking madness   a chef s restaurant games,game,4.7,358817,10000000,Free,everyone,arcade,2018-07-30
ice crush        a new puzzle matching adventure,game,4.6,15403,1000000,Free,everyone,casual,2018-08-02
terragenesis   space colony,game,4.3,38957,1000000,Free,everyone,simulation,2018-08-02
merge dragons ,game,4.5,214777,5000000,Free,everyone,puzzle,2018-07-30
shadowgun legends,game,4.6,100609,1000000,Free,teen,action,2018-07-16
rules of survival,game,4.2,1343866,10000000,Free,teen,action,2018-08-01
mafia city,game,4.5,168717,10000000,Free,mature    ,strategy,2018-08-03
cash  inc  money clicker game   business adventure,game,4.8,549720,10000000,Free,everyone,simulation,2018-07-19
dino war  rise of beasts,game,4.1,18996,1000000,Free,teen,strategy,2018-08-01
tokyo ghoul  dark war,game,4.3,25094,1000000,Free,teen,role playing,2018-07-06
last shelter  survival,game,4.4,93033,5000000,Free,teen,strategy,2018-08-04
guns of glory,game,4.0,120592,10000000,Free,everyone    ,strategy,2018-07-31
lineage    revolution,game,4.2,187972,5000000,Free,teen,role playing,2018-07-11
final fantasy xv  a new empire,game,4.0,484981,10000000,Free,everyone    ,strategy,2018-06-15
girls  frontline,game,4.2,2055,100000,Free,teen,strategy,2018-05-18
chapters  interactive stories,game,4.5,73539,1000000,Free,mature    ,role playing,2018-08-02
honkai impact  rd,game,4.7,59017,1000000,Free,teen,action,2018-07-03
master of eternity moe ,game,4.2,5829,100000,Free,teen,strategy,2018-07-26
the game of life,game,4.4,18621,100000,Paid,everyone,board,2018-07-04
clue,game,4.6,19922,100000,Paid,everyone    ,board,2018-07-30
the room  old sins,game,4.9,21119,100000,Paid,everyone,puzzle,2018-04-18
the escapists,game,4.4,7412,100000,Paid,teen,strategy,2018-04-26
farming simulator   ,game,4.5,18125,100000,Paid,everyone,education,2018-07-09
rollercoaster tycoon  classic,game,4.6,10795,100000,Paid,everyone,simulation,2017-12-21
call of duty black ops zombies,game,4.2,13004,100000,Paid,teen,action,2016-12-20
star wars    dirty,game,4.5,38207,100000,Paid,teen,role playing,2015-10-19
monument valley  ,game,4.6,9394,100000,Paid,everyone,puzzle,2017-11-30
dragon ball legends,game,4.6,337913,5000000,Free,teen,action,2018-08-03
roblox,game,4.5,4449882,100000000,Free,everyone    ,adventure,2018-07-31
candy crush saga,game,4.4,22429716,500000000,Free,everyone,casual,2018-07-05
angry birds  ,game,4.6,3883589,100000000,Free,everyone,casual,2018-07-26
  ball pool,game,4.5,14200550,100000000,Free,everyone,sports,2018-07-31
fallout shelter,game,4.6,2719142,10000000,Free,teen,simulation,2018-06-11
harry potter  hogwarts mystery,game,4.4,1107197,10000000,Free,teen,adventure,2018-08-01
pubg mobile,game,4.4,3716278,50000000,Free,teen,action,2018-07-24
the sims  freeplay,game,4.3,931595,10000000,Free,teen,simulation,2018-07-16
marvel strike force,game,4.3,165928,5000000,Free,teen,role playing,2018-07-31
best fiends   free puzzle game,game,4.6,1480189,10000000,Free,everyone,casual,2018-08-02
marvel contest of champions,game,4.3,2468063,50000000,Free,teen,action,2018-07-30
jurassic world  alive,game,4.3,309176,5000000,Free,everyone    ,simulation,2018-08-02
choices  stories you play,game,4.6,807338,10000000,Free,teen,simulation,2018-07-30
solitaire tripeaks,game,4.5,446434,10000000,Free,everyone,card,2018-08-01
merge dragons ,game,4.5,214819,5000000,Free,everyone,puzzle,2018-07-30
the walking dead  road to survival,game,4.2,522466,10000000,Free,mature    ,role playing,2018-06-19
hustle castle  fantasy kingdom,game,4.7,584126,10000000,Free,everyone    ,role playing,2018-07-27
might   magic  elemental guardians,game,4.3,32551,500000,Free,mature    ,role playing,2018-07-12
game of thrones  conquest ,game,4.0,90218,1000000,Free,teen,strategy,2018-08-03
love nikki dress up queen,game,4.4,212524,5000000,Free,everyone,role playing,2018-07-24
summoners war,game,4.3,2045554,50000000,Free,teen,role playing,2018-07-30
final fantasy brave exvius,game,4.6,745684,5000000,Free,teen,role playing,2018-07-17
idle heroes,game,4.7,416540,10000000,Free,everyone    ,role playing,2018-05-30
fate grand order  english ,game,4.4,16601,500000,Free,teen,role playing,2018-07-26
lords mobile  battle of the empires   strategy rpg,game,4.4,3057481,50000000,Free,teen,strategy,2018-07-26
war and order,game,4.3,224514,5000000,Free,teen,strategy,2018-07-18
dungeon hunter champions  epic online action rpg,game,4.2,26247,1000000,Free,teen,role playing,2018-07-26
candy crush saga,game,4.4,22430188,500000000,Free,everyone,casual,2018-07-05
roblox,game,4.5,4449910,100000000,Free,everyone    ,adventure,2018-07-31
  ball pool,game,4.5,14201891,100000000,Free,everyone,sports,2018-07-31
subway surfers,game,4.5,27725352,1000000000,Free,everyone    ,arcade,2018-07-12
candy crush soda saga,game,4.4,6199095,100000000,Free,everyone,casual,2018-07-10
zombie hunter king,game,4.3,10493,1000000,Free,mature    ,action,2018-08-01
bubble shooter,game,4.5,148945,10000000,Free,everyone,casual,2018-07-17
toon blast,game,4.7,1351771,10000000,Free,everyone,puzzle,2018-07-30
toy blast,game,4.7,1889582,50000000,Free,everyone,puzzle,2018-07-23
clash royale,game,4.6,23136735,100000000,Free,everyone    ,strategy,2018-06-27
clash of clans,game,4.6,44893888,100000000,Free,everyone    ,strategy,2018-07-15
farm heroes saga,game,4.4,7614415,100000000,Free,everyone,casual,2018-07-26
plants vs  zombies free,game,4.4,4067651,100000000,Free,everyone    ,strategy,2018-07-06
word search,game,4.7,295576,10000000,Free,everyone,education,2018-06-06
block puzzle,game,4.6,59907,5000000,Free,everyone,puzzle,2018-03-06
super jim jump   pixel  d,game,4.5,10460,1000000,Free,everyone,arcade,2018-07-11
pou,game,4.3,10486018,500000000,Free,everyone,casual,2018-05-25
temple run  ,game,4.3,8119151,500000000,Free,everyone,action,2018-07-05
flow free,game,4.3,1295625,100000000,Free,everyone,puzzle,2018-04-11
homescapes,game,4.6,3093932,10000000,Free,everyone,casual,2018-07-13
wordscapes,game,4.8,230849,10000000,Free,everyone,education,2018-08-02
my talking angela,game,4.5,9883367,100000000,Free,everyone,casual,2018-07-03
slither io,game,4.4,5235294,100000000,Free,everyone,action,2017-11-14
cooking fever,game,4.5,3198176,100000000,Free,everyone,arcade,2018-07-12
yes day,game,4.5,10055521,100000000,Free,everyone,casual,2018-06-28
gardenscapes,game,4.6,4129665,50000000,Free,everyone,casual,2018-07-13
fishdom,game,4.6,2158580,10000000,Free,everyone,puzzle,2018-07-19
galaxy attack  alien shooter,game,4.6,506593,10000000,Free,everyone,arcade,2018-08-01
score  hero,game,4.6,5419676,100000000,Free,everyone,sports,2018-06-13
zombie catchers,game,4.7,990723,10000000,Free,everyone,action,2018-05-24
magic tiles  ,game,4.5,592504,50000000,Free,everyone,music,2018-08-03
jewels star  oz adventure,game,4.5,21892,1000000,Free,everyone,puzzle,2017-12-29
granny,game,4.5,1138239,50000000,Free,teen,arcade,2018-05-29
dream league soccer     ,game,4.6,9883806,100000000,Free,everyone,sports,2018-07-16
sweet fruit candy,game,4.5,197540,10000000,Free,everyone,puzzle,2018-07-16
fruits bomb,game,4.4,74695,10000000,Free,everyone,casual,2018-07-06
angry birds classic,game,4.4,5566889,100000000,Free,everyone,arcade,2018-05-24
talking tom gold run,game,4.6,2698882,100000000,Free,everyone,action,2018-07-31
bowmasters,game,4.7,1535973,50000000,Free,teen,action,2018-07-23
my talking tom,game,4.5,14892469,500000000,Free,everyone,casual,2018-07-19
hill climb racing,game,4.4,8923818,100000000,Free,everyone,racing,2018-07-02
sniper  d gun shooter  free shooting games   fps,game,4.6,7674252,100000000,Free,mature    ,action,2018-08-02
pixel art  color by number game,game,4.7,1125438,10000000,Free,everyone,puzzle,2018-07-17
shoot bubble   fruit splash,game,4.6,29445,5000000,Free,everyone,casual,2018-05-11
rider,game,4.5,655145,10000000,Free,teen,arcade,2017-07-17
zombie tsunami,game,4.4,4921451,100000000,Free,everyone    ,arcade,2018-06-15
garena free fire,game,4.5,5476569,100000000,Free,teen,action,2018-08-03
doodle jump,game,4.3,1083571,50000000,Free,everyone,arcade,2018-07-20
helix jump,game,4.2,1500999,100000000,Free,everyone,action,2018-04-09
crossy road,game,4.5,4230886,100000000,Free,everyone,action,2018-08-01
temple run  ,game,4.3,8119154,500000000,Free,everyone,action,2018-07-05
talking tom gold run,game,4.6,2698889,100000000,Free,everyone,action,2018-07-31
zombie catchers,game,4.7,990663,10000000,Free,everyone,action,2018-05-24
swamp attack,game,4.4,2119218,50000000,Free,everyone    ,action,2018-06-29
earn to die  ,game,4.6,1327265,50000000,Free,teen,racing,2017-04-12
miraculous ladybug   cat noir   the official game,game,4.5,184210,10000000,Free,everyone,action,2018-07-30
kick the buddy,game,4.3,1003269,50000000,Free,teen,action,2018-07-05
hungry shark world,game,4.5,1242855,50000000,Free,teen,action,2018-07-18
dude perfect  ,game,4.5,401425,10000000,Free,everyone,action,2017-04-12
shadow fight  ,game,4.6,10979062,100000000,Free,everyone    ,action,2018-07-02
alto s adventure,game,4.6,515657,10000000,Free,everyone,action,2018-06-05
deer hunter     ,game,4.3,955656,10000000,Free,teen,action,2018-06-26
dead target  fps zombie apocalypse survival games,game,4.5,1468591,50000000,Free,mature    ,action,2018-07-23
cover fire  offline shooting games for free,game,4.7,725897,10000000,Free,teen,action,2018-08-03
anger of stick     zombie,game,4.5,549039,50000000,Free,teen,action,2018-08-03
cats  crash arena turbo stars,game,4.7,1559650,50000000,Free,everyone,action,2018-07-09
soul knight,game,4.7,292164,10000000,Free,everyone    ,action,2018-08-01
major mayhem,game,4.6,520962,10000000,Free,teen,action,2017-06-28
dino hunter  deadly shores,game,4.4,1381820,10000000,Free,teen,action,2017-03-14
strawberry shortcake berryrush,game,4.3,525517,10000000,Free,everyone,adventure,2017-10-15
extreme match,game,4.5,696,100000,Free,everyone,action,2018-07-05
